frame_count,id,x,y,color
61,8,654,386,red
61,104,664,315,blue
62,150,59,587,red
62,5,1190,324,blue
62,8,674,387,red
62,157,271,329,red
62,11,891,413,blue
62,104,660,317,blue
63,150,61,587,red
63,157,284,323,red
63,8,691,387,red
63,5,1210,324,blue
63,104,665,318,blue
63,11,908,414,blue
64,150,68,594,red
64,104,665,319,blue
64,157,299,324,red
64,5,1227,326,blue
64,8,708,387,red
64,11,927,416,blue
65,150,71,594,red
65,104,667,321,blue
65,8,726,387,red
65,157,316,325,red
65,11,946,424,blue
65,5,1244,326,blue
66,150,72,593,red
66,8,742,389,red
66,157,332,326,red
66,11,964,427,blue
66,104,669,322,blue
66,54,1214,257,blue
66,5,1263,329,blue
67,150,76,596,red
67,8,759,391,red
67,157,345,326,red
67,104,666,321,blue
67,54,1242,256,blue
67,5,1269,333,blue
67,11,981,431,blue
68,150,75,598,red
68,104,667,323,blue
68,8,778,392,red
68,157,357,326,red
68,54,1266,255,blue
68,11,997,432,blue
69,150,77,597,red
69,8,796,391,red
69,157,372,326,red
69,104,670,326,blue
69,11,1017,432,blue
70,150,79,595,red
70,8,811,391,red
70,157,389,325,red
70,11,1037,438,blue
70,104,668,325,blue
71,8,828,392,red
71,104,671,328,blue
71,150,83,597,red
71,157,404,323,red
71,11,1058,442,blue
72,150,87,598,red
72,104,669,329,blue
72,8,843,393,red
72,11,1078,442,blue
72,157,420,322,red
73,150,76,596,red
73,11,1099,441,blue
73,8,860,393,red
73,104,670,332,blue
73,157,434,328,red
74,11,1122,441,blue
74,150,78,593,red
74,8,878,392,red
74,157,452,318,red
74,104,673,330,blue
75,150,91,592,red
75,11,1142,448,blue
75,157,471,318,red
75,8,894,390,red
75,104,676,329,blue
76,150,97,587,red
76,104,675,329,blue
76,11,1161,451,blue
76,8,910,391,red
76,157,481,315,red
77,8,926,394,red
77,150,106,583,red
77,104,680,327,blue
77,157,494,317,red
77,11,1180,451,blue
78,150,110,581,red
78,8,943,392,red
78,157,506,308,red
78,104,685,327,blue
78,11,1199,448,blue
79,104,683,323,blue
79,11,1217,447,blue
79,8,962,388,red
79,157,515,307,red
79,150,112,583,red
79,245,1271,306,red
80,8,976,387,red
80,11,1237,448,blue
80,150,113,583,red
80,157,524,305,red
80,245,1272,306,red
80,104,688,304,blue
81,150,121,577,red
81,11,1251,448,blue
81,157,529,303,red
81,8,990,389,red
81,250,62,212,blue
81,104,683,318,blue
81,251,974,156,red
82,157,533,300,red
82,150,135,572,red
82,8,1006,386,red
82,104,679,314,blue
82,250,70,207,blue
82,11,1260,446,blue
82,251,980,152,red
83,157,538,296,red
83,8,1020,382,red
83,250,79,206,blue
83,150,148,567,red
83,104,677,312,blue
83,11,1266,443,blue
83,251,987,151,red
84,8,1031,381,red
84,150,160,551,red
84,250,85,200,blue
84,157,540,292,red
84,104,679,313,blue
84,251,990,147,red
85,8,1042,387,red
85,250,89,199,blue
85,150,166,549,red
85,104,678,309,blue
85,157,539,290,red
85,258,1273,434,blue
85,251,992,144,red
86,250,91,197,blue
86,150,166,551,red
86,104,675,309,blue
86,8,1053,387,red
86,157,537,287,red
86,251,991,141,red
87,8,1062,385,red
87,250,92,196,blue
87,150,172,550,red
87,104,673,307,blue
87,251,988,141,red
88,150,176,545,red
88,250,92,193,blue
88,8,1067,382,red
88,104,672,306,blue
88,264,528,284,red
88,251,985,140,red
89,150,186,542,red
89,8,1074,388,red
89,250,91,191,blue
89,264,524,283,red
89,104,669,304,blue
89,268,1273,287,blue
89,251,982,139,red
90,150,200,538,red
90,250,90,190,blue
90,8,1082,391,red
90,104,666,303,blue
90,264,519,281,red
90,268,1272,282,blue
90,251,978,135,red
91,250,89,188,blue
91,8,1091,390,red
91,150,215,534,red
91,104,665,305,blue
91,264,514,279,red
91,251,974,137,red
92,250,87,186,blue
92,150,227,529,red
92,104,662,305,blue
92,8,1102,387,red
92,264,507,278,red
92,251,969,136,red
